word,sentiment,intensity,valence
脏乱,Disgust,7,-1
糟报,Disgust,5,-1
早衰,Disgust,5,-1
责备,Disgust,5,-1
贼眼,Disgust,5,-1
战祸,Disgust,5,-1
招灾,Disgust,5,-1
折辱,Disgust,5,-1
中山狼,Disgust,5,-1
清峻,Awe,5,0
清莹,Awe,5,1
轻倩,Awe,5,1
晴丽,Awe,5,1
求索,Awe,3,1
热潮,Awe,5,1
仁政,Awe,5,1
荣名,Awe,5,1
柔腻,Awe,5,1
瑞雪,Joy,5,1
擅名,Awe,7,1
神采,Joy,5,1
省便,Awe,5,1
盛开,Awe,5,1
盛誉,Awe,5,1
诗仙,Awe,7,1
爽脆,Awe,5,1
素洁,Awe,3,1
诪张,Disgust,5,-1
株连,Disgust,7,-1
坠毁,SadDisgustss,5,-1
滋生,Disgust,5,-1
自恃,Disgust,5,-1
走后门,Disgust,5,-1
阻力,Disgust,3,-1
罪状,Disgust,9,-1
做戏,Disgust,7,-1
甜头,Awe,5,1
头名,Awe,5,1
婉妙,Awe,3,1
温淑,Awe,1,1
稳厚,Awe,3,1
沃壤,Awe,5,1
无上,Awe,5,1
喜人,Joy,5,1
先贤,Awe,5,1
鲜妍,Awe,5,1
相称,Awe,5,1
骁骑,Awe,3,1
新巧,Awe,5,1
新意,Awe,5,1
信奉,Awe,5,1
急智,Awe,3,1
技艺,Awe,3,1
雄劲,Awe,3,1
雄肆,Awe,3,1
秀俊,Awe,5,1
煦煦,Awe,5,1
勋绩,Awe,5,1
雅淡,Awe,5,1
雅兴,Awe,5,1
严整,Awe,5,1
泱泱,Awe,5,1
怡悦,Joy,5,1
义诊,Awe,5,1
英发,Awe,5,1
英伟,Awe,5,1
莹润,Awe,3,1
勇健,Awe,3,1
优厚,Awe,5,1
幽雅,Awe,5,1
有识,Awe,5,1
友邻,Awe,5,1
玉人,Awe,5,1
元勋,Awe,5,1
佳句,Awe,7,1
佳趣,Awe,5,1
兼爱,Awe,3,1
坚守,Awe,7,1
简雅,Awe,5,1
荐举,Awe,7,1
见称,Awe,7,1
见闻,Awe,1,1
奖旗,Awe,3,1
奖许,Awe,7,1
姣丽,Awe,5,1
娇丽,Awe,5,1
骄子,Awe,5,1
解惑,Awe,3,1
津要,Awe,5,1
金嗓子,Awe,3,1
匀净,Awe,3,1
赞词,Awe,3,1
真纯,Awe,3,1
箴言,Awe,5,1
珍玩,Awe,7,1
正理,Awe,5,1
指导,Awe,3,1
至理,Awe,7,1
致敬,Awe,5,1
智多星,Awe,5,1
忠魂,Awe,7,1
主力军,Awe,5,1
准绳,Awe,5,1
卓特,Awe,7,1
进益,Joy,5,1
奏凯,Joy,5,1
尊服,Awe,3,1
尽瘁,Awe,5,1
精白,Awe,3,1
