,word,sentiment
1,2-faces,negative
2,abnormal,negative
3,abolish,negative
4,abominable,negative
5,abominably,negative
6,abominate,negative
7,abomination,negative
8,abort,negative
9,aborted,negative
10,aborts,negative
11,abound,positive
12,abounds,positive
13,abrade,negative
14,abrasive,negative
15,abrupt,negative
16,abruptly,negative
17,abscond,negative
18,absence,negative
19,absent-minded,negative
20,absentee,negative
21,absurd,negative
22,absurdity,negative
23,absurdly,negative
24,absurdness,negative
25,abundance,positive
26,abundant,positive
27,abuse,negative
28,abused,negative
29,abuses,negative
30,abusive,negative
31,abysmal,negative
32,abysmally,negative
33,abyss,negative
34,accessable,positive
35,accessible,positive
36,accidental,negative
37,acclaim,positive
38,acclaimed,positive
39,acclamation,positive
40,accolade,positive
41,accolades,positive
42,accommodative,positive
43,accomodative,positive
44,accomplish,positive
45,accomplished,positive
46,accomplishment,positive
47,accomplishments,positive
48,accost,negative
49,accurate,positive
50,accurately,positive
51,accursed,negative
52,accusation,negative
53,accusations,negative
54,accuse,negative
55,accuses,negative
56,accusing,negative
57,accusingly,negative
58,acerbate,negative
59,acerbic,negative
60,acerbically,negative
61,ache,negative
62,ached,negative
63,aches,negative
64,achey,negative
65,achievable,positive
66,achievement,positive
67,achievements,positive
68,achievible,positive
69,aching,negative
70,acrid,negative
71,acridly,negative
72,acridness,negative
73,acrimonious,negative
74,acrimoniously,negative
75,acrimony,negative
76,acumen,positive
77,adamant,negative
78,adamantly,negative
79,adaptable,positive
80,adaptive,positive
81,addict,negative
82,addicted,negative
83,addicting,negative
84,addicts,negative
85,adequate,positive
86,adjustable,positive
87,admirable,positive
88,admirably,positive
89,admiration,positive
90,admire,positive
91,admirer,positive
92,admiring,positive
93,admiringly,positive
94,admonish,negative
95,admonisher,negative
96,admonishingly,negative
97,admonishment,negative
98,admonition,negative
99,adorable,positive
100,adore,positive
101,adored,positive
102,adorer,positive
103,adoring,positive
104,adoringly,positive
105,adroit,positive
106,adroitly,positive
107,adulate,positive
108,adulation,positive
109,adulatory,positive
110,adulterate,negative
111,adulterated,negative
112,adulteration,negative
113,adulterier,negative
114,advanced,positive
115,advantage,positive
116,advantageous,positive
117,advantageously,positive
118,advantages,positive
119,adventuresome,positive
120,adventurous,positive
121,adversarial,negative
122,adversary,negative
123,adverse,negative
124,adversity,negative
125,advocate,positive
126,advocated,positive
127,advocates,positive
128,affability,positive
129,affable,positive
130,affably,positive
131,affectation,positive
132,affection,positive
133,affectionate,positive
134,affinity,positive
135,affirm,positive
136,affirmation,positive
137,affirmative,positive
138,afflict,negative
139,affliction,negative
140,afflictive,negative
141,affluence,positive
142,affluent,positive
143,afford,positive
144,affordable,positive
145,affordably,positive
146,affront,negative
147,afordable,positive
148,afraid,negative
149,aggravate,negative
150,aggravating,negative
151,aggravation,negative
152,aggression,negative
153,aggressive,negative
154,aggressiveness,negative
155,aggressor,negative
156,aggrieve,negative
157,aggrieved,negative
158,aggrivation,negative
159,aghast,negative
160,agile,positive
161,agilely,positive
162,agility,positive
163,agonies,negative
164,agonize,negative
165,agonizing,negative
166,agonizingly,negative
167,agony,negative
168,agreeable,positive
169,agreeableness,positive
170,agreeably,positive
171,aground,negative
172,ail,negative
173,ailing,negative
174,ailment,negative
175,aimless,negative
176,alarm,negative
177,alarmed,negative
178,alarming,negative
179,alarmingly,negative
180,alienate,negative
181,alienated,negative
182,alienation,negative
183,all-around,positive
184,allegation,negative
185,allegations,negative
186,allege,negative
187,allergic,negative
188,allergies,negative
189,allergy,negative
190,alluring,positive
191,alluringly,positive
192,aloof,negative
193,altercation,negative
194,altruistic,positive
195,altruistically,positive
196,amaze,positive
197,amazed,positive
198,amazement,positive
199,amazes,positive
200,amazing,positive
201,amazingly,positive
202,ambiguity,negative
203,ambiguous,negative
204,ambitious,positive
205,ambitiously,positive
206,ambivalence,negative
207,ambivalent,negative
208,ambush,negative
209,ameliorate,positive
210,amenable,positive
211,amenity,positive
212,amiability,positive
213,amiabily,positive
214,amiable,positive
215,amicability,positive
216,amicable,positive
217,amicably,positive
218,amiss,negative
