Link,Post,Poster_Screen_Name,Likes
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/6312cc1c0000000011011e4b,香港浸会大学传理学院正式入驻小红书啦‼️,香港浸会大学传理学院,629
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63fdb9bd0000000013007d9a,传理新面貌｜跨媒体故事创意演播室,香港浸会大学传理学院,17
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63f882f6000000001203d10d,传理学院线上宣讲会来啦‼️23fall别错过‼️,香港浸会大学传理学院,16
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63f731d0000000001303086a,浸会留学｜快来PICK传理宝藏课程2⃣️,香港浸会大学传理学院,13
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63f5b59e0000000013007960,浸会留学｜快来PICK传理宝藏课程1⃣️,香港浸会大学传理学院,29
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63ef4138000000001300d2fe,浸会留学｜传理学院5位数奖学金在等你😍,香港浸会大学传理学院,38
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63ed94b4000000000703a3b4,传理StudyTour 3⃣️｜曼谷游学之旅,香港浸会大学传理学院,18
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63eaf227000000000800dcd3,传理StudyTour 2⃣️｜冬雪韩国游学之旅,香港浸会大学传理学院,29
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63e600fe000000001202a58a,浸会传理Study Tour1⃣️｜狮城新加坡游学之旅,香港浸会大学传理学院,48
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63e34426000000000d01e014,人工智能与数码媒体 | 人工智能，联机未来,香港浸会大学传理学院,17
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63e0ac9e000000001d02123b,传理学硕士课程亮点 | 立足理论 深入实践,香港浸会大学传理学院,24
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63db5e01000000000d015afd,Study Tour | 学在新加坡 vlog,香港浸会大学传理学院,9
https://www.xiaohongshu.com/user/profile/62a2d662000000001902acf6/63d9d236000000000d0145d7,Study Tour | 食在新加坡vlog,香港浸会大学传理学院,8
