title,channel_title,views,likes,dislikes,comment_total,,,,,,,,,,
"Live Apple Event - Apple September Event 2017 - iPhone 8, iPhone X, iOS 11 - Apple Keynote",Apple Event,7426393,78240,13548,705,,,,,,,,,,
Holly and Phillip Meet Samantha the Sex Robot | This Morning,This Morning,494203,2651,1309,0,,,,,,,,,,
My DNA Test Results! I'm WHAT?!,emmablackery,142819,13119,151,1141,,,,,,,,,,
getting into a conversation in a language you don't actually speak that well,ProZD,1580028,65729,1529,3598,,,,,,,,,,
Baby Name Challenge!,Sprinkleofglitter,40592,5019,57,490,,,,,,,,,,
"REVEALED - FIFA 18 stats for Chelsea's Hazard, Luiz & Christensen!",Rio Ferdinand Presents FIVE,317696,9449,135,464,,,,,,,,,,
Juicy Chicken Breast - You Suck at Cooking (episode 65),You Suck At Cooking,479291,23935,638,1941,,,,,,,,,,
Nerf Bow Trick Shots | Dude Perfect,Dude Perfect,10532409,384841,7547,23849,,,,,,,,,,
Weekend in BRIGHTON with Mike! | Fleur De Vlog,FleurDeVlog,65453,2761,33,223,,,,,,,,,,
Radiohead - Lift,Radiohead,751743,42272,358,3250,,,,,,,,,,
iPhone leaks (YIAY #355),jacksfilms,1121715,65988,591,51025,,,,,,,,,,
Flinch w/ Fifth Harmony,The Late Late Show with James Corden,199102,14916,324,1098,,,,,,,,,,
Harry Styles - The Chain (Fleetwood Mac cover) in the Live Lounge,BBCRadio1VEVO,1024398,61352,967,4097,,,,,,,,,,
"Action Bronson and Sean Evans Have a Sandwich Showdown, Judged by Mario Batali | Sean in the Wild",First We Feast,483360,16251,245,1588,,,,,,,,,,
What's Actually the Plane of the Future,Wendover Productions,601419,19564,658,2510,,,,,,,,,,
THIS MADE MY DAD CRY! | Story of my Comeback Competition,Nile Wilson,185541,12172,114,827,,,,,,,,,,
Fergie - You Already Know ft. Nicki Minaj,FergieVEVO,814262,66290,3557,5546,,,,,,,,,,
WHY I STOPPED UPLOADING,EstÃ©e Lalonde,169898,5470,362,490,,,,,,,,,,
How 9/11 changed Disney's Lilo & Stitch,Vox,1691734,39633,1775,5191,,,,,,,,,,
Drowning for Power - Rooster Teeth Animated Adventures,Rooster Teeth,917746,25455,731,1073,,,,,,,,,,
The Child in Time: Trailer - BBC One,BBC,40884,1126,15,131,,,,,,,,,,
Was It Worth It?,Bubzvlogz,125196,5388,46,418,,,,,,,,,,
The Problem With Our Phones,The School of Life,162818,9523,416,1079,,,,,,,,,,
Fenty Beauty Pro Filt'r Foundation Review|| Nyma Tang #thedarkestshade,Nyma Tang,1936216,74528,1059,6552,,,,,,,,,,
playing with old fridges -  public information film 1970s UK advert,BlytheWorld1972,22668,62,0,27,,,,,,,,,,
"PewDiePie Getting TAKEN DOWN After Saying N Word? KSI CALLS Out PewDiePie, Banks Defends Him",Scarce,1701667,53795,8517,36290,,,,,,,,,,
"Autumn Hair, Lingerie & Lots More! August Favourites 2017 | Melanie Murphy",Melanie Murphy,35536,2094,40,415,,,,,,,,,,
TESTING SOPH X MAKEUP REVOLUTION PALETTES!! | sophdoesnails,sophdoesnails,189389,15787,104,2479,,,,,,,,,,
"Asuka is coming to Raw: Raw, Sept. 11, 2017",WWE,369541,7658,469,1887,,,,,,,,,,
Fifty Shades Freed - Teaser [HD],Fifty Shades,4659935,17509,2542,2157,,,,,,,,,,
"MOVING VLOG #2 | EVERYTHING IS PINK, A HOUSE TOUR OF WHAT I'VE DONE SO FAR+ BUILDING IKEA FURNITURE!",Emily Canham,153427,8915,91,1080,,,,,,,,,,
SHOPPING FENTY BEAUTY & BACK AT THE GYM | VLOGTEMBER,SamanthaMariaVlogs,109101,4209,109,462,,,,,,,,,,
$3 Seafood Vs. $213 Seafood â€¢ Australia,BuzzFeedVideo,4615562,104889,2180,11355,,,,,,,,,,
After Hours: 6 Movies Whose Timelines Don't Add Up,Cracked,379393,14093,323,1338,,,,,,,,,,
Hand In Hand A Benefit For Hurricane Relief | MTV,MTV,274358,9213,476,838,,,,,,,,,,
FENTY BEAUTY.. IS THIS EVEN REAL?? | FULL REVIEW,Dina Tokio,218536,10659,432,1424,,,,,,,,,,
Jim Carrey Sounds Off on Icons and More at NYFW 2017 | E! Live from the Red Carpet,E! Live from the Red Carpet,2524251,17100,676,5311,,,,,,,,,,
The Good Boys Of YouTube (The Jimquisition),Jim Sterling,463425,26446,8020,12806,,,,,,,,,,
Bolton 0-1 Blades - match action,SheffieldUTube,3263,108,2,7,,,,,,,,,,
"Exclusive: President Trump Being Drugged Ahead Of Coup, Sources Claim",The Alex Jones Channel,182142,4041,820,3267,,,,,,,,,,
Last Week I Found Jesus,DarkSquidge,82601,5311,67,1662,,,,,,,,,,
Hurricane Irma: Looters caught on camera in Miami - BBC News,BBC News,136677,490,206,1841,,,,,,,,,,
Rudimental - Sun Comes Up feat. James Arthur [Official Video],Rudimental,214126,9278,139,349,,,,,,,,,,
IM GONNA BE A FATHER (Things Got Awkward),Wil Dasovich,807265,26518,522,5996,,,,,,,,,,
FAIL.. + *New* ESTEE LAUDER DOUBLE WEAR NUDE {First Impression Review & Demo!} 15 DAYS OF FOUNDATION,thataylaa,141937,9886,130,1224,,,,,,,,,,
Autumn Fashion Haul - Â£35 Highstreet & Luxury,Amelia Liana,58169,1906,73,198,,,,,,,,,,
CHOCOLATE CHIP COOKIE CUPCAKES - NERDY NUMMIES,Rosanna Pansino,315091,19533,204,3172,,,,,,,,,,
Bryson Tiller - Run Me Dry (Official Video),BrysonTillerVEVO,503585,41072,362,3399,,,,,,,,,,
Larry's Back & Nothing Has Changed | Curb Your Enthusiasm Season 9 Trailer #2 (2017) | HBO,HBO,498126,6298,112,789,,,,,,,,,,
How Computers Compress Text: Huffman Coding and Huffman Trees,Tom Scott,330727,18020,112,1017,,,,,,,,,,
Killing spawn peekers can be hard sometimes,sjallday0015,324532,6060,72,252,,,,,,,,,,
BLIND TASTE TEST // Grace Helbig,Grace Helbig,141356,9465,55,956,,,,,,,,,,
Harrison Styles is heading in One Directionâ€¦ Boot Camp! | Auditions Week 2 | The X Factor 2017,The X Factor UK,162018,2566,72,0,,,,,,,,,,
"Gigi Hadid Loses High Heel During Fashion Week, Walks It Off Like a Pro | TMZ",TMZ,703750,2921,2196,1042,,,,,,,,,,
