rating,title,text,timestamp,helpful_vote,verified_purchase
5,Perfect fit.,Fit perfect. Cleans up great.,2017-12-19 01:50:24.019,0,True
5,Love it! ❤️,"Got this for the camper because we were going through 2+ bags of ice per day in this 100°+ weather. You kind of have to babysit it to keep the ice basket empty as it only holds >2lbs of ice. I have an ice bin in the freezer that I use to keep the ice basket empty and when it's full, I store the ice in a doubled up Wal-Mart bag.",2022-07-24 20:24:20.880,0,True
5,Fits perfect! Looks great - high quality,"Fits perfect! Looks great - high quality! And, it will be so much easier to clean than other drip pans. Great price for a great product!",2015-01-22 16:32:33.000,0,True
5,Perfect,"I love everything about this washer. At first I was sceptical, but it turned out to be one of the best purchases I've made.<br /><br />Edit: couple months later...absolutely beyond pleased with this washer. In an apartment with 6 kids, it has saved my life. 10/10 would recommend to anyone who has a small space. Also want to add that if you use the ""child lock"" feature, you can add soaps or vinegar or whatever you want during the cycle without interrupting the program. Also, came with everything I needed to properly install, but I added a hose clamp for the drain hose just to be extra sure. LOVE the quick release feature on the hookup, and make sure the lid is closed to turn on. Very safe for children as the washer will stop completely if the lid is up, just make sure you use the ""child lock"" feature every time, or opening the lid will cause deletion of the program and the whole thing will have to be restarted. Love love 💕 this washer. Wish I had bought one sooner.",2022-08-16 14:56:16.169,28,True
5,Love it,Love this tool/gadget.  It works great!,2019-02-22 13:58:32.950,0,True
5,Works good,Did mine and both my sisters dryer,2022-12-03 22:56:13.088,0,True
5,Easy to install and works like a charm,Easy to install and works like a charm.  I would definitely recommend this if you don't want to use the wall switch anymore.,2015-06-21 14:29:12.000,0,True
5,To have this first hand if you are replacing the drain pump on a washer machine.,I disliked I didn't have this tool from the very start. I had to deal with being frustrated trying to get that darn washer machine tub retainer ring back on using a couple of screwdrivers. Then I found this tool and was done in 35 sec.,2021-09-25 16:13:52.818,0,True
5,How easy to replace !!,Easy to install. Love it,2019-09-29 00:33:25.057,0,True
5,Dishwasher Upper Rack Replacement. Simple and High ROI,DIY upper dishwasher rack fix for my parents. Couldn't have been any easier.,2020-01-03 17:29:10.441,0,True
5,Easy Replacement,This arrived quickly and was simple to replace. Make sure you match up the correct filter with the correct water system.,2015-04-07 15:58:51.000,0,True
5,So far so good.,It’s been a few months and it’s still working well for my Viking stove.,2018-03-30 20:10:42.708,0,True
5,This really works and helps keep humidifiers free of 'stuff',"Since I've been using this stuff, I've rarely cleaned my humidifiers. It's really too good to be true but it really works. For the evaporative humidifier, I normally clean it about weekly which includes cleaning the calcified stuff around the heating element. The other day, almost nothing seemed to form around the heating element. I also have the ultrasonic one and going almost three weeks now without cleaning albeit the label instructions opposing use in ultrasonic humidifiers.",2016-03-22 18:35:46.000,0,True
5,Works well.,Getting the filter in was a little tricky. I was told I didn't have to turn off the water. Not true! The filter is working fine. But I still don't know where all the water that sprayed out went?!?,2022-01-22 20:38:39.753,0,True
5,I was so happy to find these,The knobs I was replacing were from the stoves manufacturer and were cheap junk that would cost $70 EACH from the manufacturer.  I was so happy to find these at a fraction of the cost.  They seem quite sturdy and fit perfectly.,2020-10-15 13:22:02.817,0,True
5,Love it!,Perfect!  It's just what I wanted!,2017-08-25 21:12:06.440,0,True
