president,subgroup,date,approve_rating,approve_hi,approve_lo
Joe Biden,All polls,2/6/2023,43.195171,47.197275,39.193067
Joe Biden,Adults,2/6/2023,43.242828,47.393656,39.092001
Joe Biden,Voters,2/6/2023,43.742387,47.525368,39.959407
Joe Biden,All polls,2/5/2023,42.457462,46.365059,38.549865
Joe Biden,Adults,2/5/2023,42.146337,46.130472,38.162203
Joe Biden,Voters,2/5/2023,43.647491,47.433399,39.861584
Joe Biden,All polls,2/4/2023,41.974185,45.913504,38.034865
Joe Biden,Adults,2/4/2023,41.194229,45.174202,37.214255
Joe Biden,Voters,2/4/2023,43.573252,47.471865,39.674639
Joe Biden,All polls,2/3/2023,41.974185,45.913507,38.034862
Joe Biden,Adults,2/3/2023,41.194229,45.174202,37.214255
Joe Biden,Voters,2/3/2023,43.573252,47.471865,39.674639
Joe Biden,All polls,2/2/2023,41.933508,45.872038,37.994978
Joe Biden,Adults,2/2/2023,41.194229,45.174205,37.214252
Joe Biden,Voters,2/2/2023,43.639829,47.445163,39.834495
Joe Biden,All polls,2/1/2023,42.298836,46.321025,38.276647
Joe Biden,Adults,2/1/2023,41.788456,45.938996,37.637915
Joe Biden,Voters,2/1/2023,43.665925,47.469837,39.862012
Joe Biden,All polls,1/31/2023,42.06627,46.21509,37.91745
Joe Biden,Adults,1/31/2023,41.614449,45.888703,37.340195
Joe Biden,Voters,1/31/2023,43.264064,47.334584,39.193544
Joe Biden,All polls,1/30/2023,42.343079,46.42486,38.261298
Joe Biden,Adults,1/30/2023,42.049548,46.266915,37.832181
Joe Biden,Voters,1/30/2023,43.245543,47.382797,39.108288
Joe Biden,All polls,1/29/2023,42.165108,46.374336,37.955879
Joe Biden,Adults,1/29/2023,41.572586,45.964552,37.180619
Joe Biden,Voters,1/29/2023,42.898683,47.117137,38.680229
Joe Biden,All polls,1/28/2023,41.641627,45.866308,37.416947
Joe Biden,Adults,1/28/2023,40.40847,44.673776,36.143165
Joe Biden,Voters,1/28/2023,42.898683,47.117137,38.680229
Joe Biden,All polls,1/27/2023,41.641627,45.866306,37.416949
Joe Biden,Adults,1/27/2023,40.40847,44.673769,36.143171
Joe Biden,Voters,1/27/2023,42.898683,47.117137,38.680229
Joe Biden,All polls,1/26/2023,41.985282,46.321003,37.649562
Joe Biden,Adults,1/26/2023,40.39156,44.733184,36.049937
Joe Biden,Voters,1/26/2023,43.464132,47.679867,39.248398
Joe Biden,All polls,1/25/2023,42.052846,46.537319,37.568373
Joe Biden,Adults,1/25/2023,40.553028,45.14202,35.964036
Joe Biden,Voters,1/25/2023,43.421998,47.767425,39.076571
Joe Biden,All polls,1/24/2023,42.330626,46.740498,37.920753
Joe Biden,Adults,1/24/2023,40.680811,45.120455,36.241167
Joe Biden,Voters,1/24/2023,43.594156,48.087618,39.100694
Joe Biden,All polls,1/23/2023,42.215988,46.788144,37.643832
Joe Biden,Adults,1/23/2023,40.680811,45.120457,36.241166
Joe Biden,Voters,1/23/2023,43.64431,48.458245,38.830374
Joe Biden,All polls,1/22/2023,42.245247,46.847905,37.64259
Joe Biden,Adults,1/22/2023,40.790389,45.390782,36.189996
Joe Biden,Voters,1/22/2023,43.914978,48.961074,38.868882
Joe Biden,All polls,1/21/2023,42.245247,46.847907,37.642588
Joe Biden,Adults,1/21/2023,40.790389,45.390785,36.189993
