ISO_code,countries,region,personal freedom,economic freedom,human freedom,Demography,Education,Environmental sustainability,Gender,Health,Human Security,Income/composition of resources,Inequality,Poverty,Socio-economic sustainability,Trade and financial flows,"Work, employment and vulnerability",Happy Index
ALB,Albania,Eastern Europe,7.596280576,7.54,7.568140288,110.08,353.745,0.855,24252.866,241.5,12.2,23812.122,52.737,1.5,25.2,86.85,399,36.8
DZA,Algeria,Middle East & North Africa,5.281772109,4.99,5.135886055,203.45,181.064,0.904,27735.084,246.866,4,28388.344,103.434,9.7,47.8,61.63,276,33.3
AGO,Angola,Sub-Saharan Africa,6.111324364,5.17,5.640662182,213.73,41.098,0.936,12425.35,283.143,8.3,11820.213,163.282,59,7.8,57.6,489.7,10
ARG,Argentina,Latin America & the Caribbean,8.099695682,4.84,6.469847841,230.44,276.316,0.861,37524.25,250.973,0.1,38287.988,72.547,2.8,82.5,19.89,366.4,35.2
ARM,Armenia,Caucasus & Central Asia,6.912803602,7.57,7.241401801,115.03,366.549,0.845,18933.745,231.843,10.8,18033.982,51.837,10.1,19,102.74,414.2,25.7
AUS,Australia,Oceania,9.184438453,7.98,8.582219227,185.56,378.129,0.828,87382.31,257.27,0,89509.318,43.555,0,24.2,42.15,365.6,21.2
AUT,Austria,Western Europe,9.246948401,7.58,8.4134742,125.66,385.652,0.896,91523.755,256.25,0,91403.424,42.447,0,111.2,114.32,336.7,30.5
AZE,Azerbaijan,Caucasus & Central Asia,5.676553478,6.49,6.083276739,116.03,357.809,0.91,31538.884,222.202,10.3,31657.163,52.324,1.5,24.1,93.18,422,11
BHS,Bahamas,Latin America & the Caribbean,7.454537846,7.34,7.397268923,126.46,309.126,0.703,53823.22,240.159,0.4,54509.544,16.464,0.2,27,75.5,435.3,9.6
BHR,Bahrain,Middle East & North Africa,6.136069994,7.56,6.848034997,121.34,257.158,0.849,74116.823,235.178,0.5,84936.511,26.042,0,0,11.4,348.3,11.2
BGD,Bangladesh,South Asia,5.302600358,6.3,5.801300179,385.15,190.308,0.766,7777.864,226.412,16.8,7876.045,119.712,67.3,57.7,40.91,375.6,38.4
BLR,Belarus,Eastern Europe,6.059028163,6.23,6.144514082,143.26,355.338,0.97,33388.963,225.916,3.7,33721.87,35.424,0.3,26.2,133.5,330,21.7
BEL,Belgium,Western Europe,8.987178587,7.32,8.153589293,176.05,348.893,0.986,84870.108,249.743,0.1,85460.013,46.748,0,107.9,172.73,324.9,23.7
BLZ,Belize,Latin America & the Caribbean,7.430863836,6.86,7.145431918,101.73,313.905,0.744,14647.828,233.878,0.1,15084.045,109.744,10.4,19,117.71,399.5,33.8
BEN,Benin,Sub-Saharan Africa,7.496976295,5.98,6.738488147,152.14,125.371,0.91,4809.392,224.133,0.6,4203.057,183.222,73.5,28.6,82.27,459,13.4
BTN,Bhutan,South Asia,6.600972815,7.02,6.810486407,88.54,76.045,0.799,16188.96,216.578,8,16828.863,134.577,9.6,47.2,75.72,438.7,28.6
BOL,Bolivia,Latin America & the Caribbean,7.206770015,6.23,6.718385007,152.15,237.687,0.871,13939.18,235.361,0.5,13766.335,130.566,9.7,67.4,56.68,386.4,23.3
BIH,Bosnia and Herzegovina,Eastern Europe,7.861447145,6.6,7.230723572,99.96,313.818,0.904,24077.649,271.178,17.7,23545.42,79.325,0.2,20.5,98.69,344.9,25.3
BWA,Botswana,Sub-Saharan Africa,6.876334453,7.43,7.153167226,128.63,357.159,0.98,31486.402,208.433,0.3,31395.062,19.196,21.2,0,5.31,430.1,16.6
BRA,Brazil,Latin America & the Caribbean,6.665977406,5.75,6.207988703,518.75,249.086,0.901,28032.005,231.957,0.9,30937.344,118.949,6.4,77.5,25.13,422.3,34.3
BRN,Brunei Darussalam,South Asia,4.663699718,6.93,5.796849859,117.16,280.404,0.828,152324.116,237.183,0,148331,6.334,0.3,113.9,85.2,385.8,13.5
BGR,Bulgaria,Eastern Europe,8.155539077,7.41,7.782769538,143.16,365.305,0.941,38317.391,235.644,0.7,37509.691,64.655,0,108.5,141.88,310.6,20.4
BFA,Burkina Faso,Sub-Saharan Africa,7.45533967,6.05,6.752669835,153.65,56.586,0.989,4030.705,199.827,2.7,3442.323,160.51,66.8,25.5,66.25,432.4,17.9
BDI,Burundi,Sub-Saharan Africa,4.414134427,5.92,5.167067213,123.33,72.224,0.921,2536.05,190.282,439.3,1444.694,165.728,16278.104,0,0.96,508.8,15.6
KHM,Cambodia,South Asia,7.238448286,7.17,7.204224143,108.35,114.287,0.823,7243.845,230.459,12.2,7213.133,98.118,46.4,22.9,126.64,463.3,25.6
CMR,Cameroon,Sub-Saharan Africa,5.330774311,5.82,5.575387155,183.43,163.547,0.836,7533.621,206.393,11,6799.629,172.465,38.3,21.6,37.7,477.2,16.7
CAN,Canada,North America,9.151726642,7.98,8.565863321,200.96,389.699,0.971,87302.014,263.562,0.1,89090.717,42.218,0,114.5,64.18,366.8,23.9
CPV,Cape Verde,Sub-Saharan Africa,7.986583066,6.68,7.333291533,120.33,85.855,0.881,12210.407,226.615,0,12296.718,38.13,37.2,37.3,118.19,394.4,22.1
CAF,Central Afr. Rep.,Sub-Saharan Africa,5.465632394,5.11,5.287816197,138.33,100.641,0.944,2466.381,241.206,545.5,1345.086,210.175,91.2,17.7,44.3,458.1,14.5
TCD,Chad,Sub-Saharan Africa,5.50954107,5.44,5.474770535,147.93,42.798,0.92,4674.585,268.211,16.3,3590.532,191.023,65.5,21.4,73.5,483.1,12.8
