president,SelfDirection,Stimulation,Hedonism,Achievement,Power,Security,Tradition,Conformity,Benevolence,Universalism
Washington,36.933797909407666,9.059233449477352,1.3937282229965158,24.390243902439025,15.331010452961673,5.574912891986063,10.452961672473869,22.996515679442506,24.390243902439025,10.452961672473869
Jefferson,28.851702250432776,5.770340450086556,3.462204270051933,22.504327755337563,25.389497980380842,17.88805539526832,13.848817080207732,33.46797461050202,17.88805539526832,19.619157530294284
Lincoln,24.079320113314445,8.4985835694051,0.0,25.495750708215297,7.0821529745042495,46.742209631728045,24.079320113314445,0.0,16.9971671388102,26.912181303116146
Roosevelt,25.477707006369428,17.515923566878982,1.5923566878980893,20.700636942675157,16.985138004246284,15.392781316348195,20.700636942675157,35.031847133757964,29.723991507431,11.146496815286623
Kennedy,40.396341463414636,14.481707317073171,2.2865853658536586,19.054878048780488,30.48780487804878,31.25,7.621951219512195,20.57926829268293,32.77439024390244,16.76829268292683
Nixon,41.275797373358344,9.380863039399626,7.973733583489681,25.328330206378986,18.761726078799253,13.602251407129456,4.690431519699813,8.442776735459663,27.204502814258912,12.195121951219512
Reagan,35.437881873727086,7.739307535641547,1.2219959266802445,23.217922606924645,26.476578411405296,11.405295315682281,14.256619144602853,14.663951120162933,27.69857433808554,10.9979633401222
Bush,50.04277159965783,9.409751924721984,3.4217279726261762,16.25320786997434,21.813515825491876,11.120615911035072,7.698887938408896,7.271171941830625,38.92215568862276,15.397775876817793
Clinton,41.9536631183469,31.934877896055106,8.140262993112085,11.897307451471509,31.308703819661865,10.018785222291797,11.271133375078271,13.149655604257983,34.439574201628055,9.39261114589856
W Bush,42.13836477987421,20.12578616352201,1.2578616352201257,16.9811320754717,27.67295597484277,26.41509433962264,15.09433962264151,24.528301886792455,34.59119496855346,20.754716981132074
Obama,34.411276948590384,12.437810945273633,7.462686567164179,17.412935323383085,23.217247097844112,19.90049751243781,14.096185737976782,5.804311774461028,20.3150912106136,11.608623548922056
Trump,36.652835408022135,16.597510373443985,8.990318118948824,21.43845089903181,26.970954356846473,47.026279391424616,9.681881051175658,11.065006915629322,19.363762102351316,18.672199170124482
