Date,Google,Apple,Tesla,Amazon,Netflix
04/01/2016,741.84,105.35,223.41,636.99,109.96
05/01/2016,742.58,102.71,223.43,633.79,107.66
06/01/2016,743.62,100.7,219.04,632.65,117.68
07/01/2016,726.39,96.45,215.65,607.94,114.56
08/01/2016,714.47,96.96,211,607.05,111.39
11/01/2016,716.03,98.53,207.85,617.74,114.97
12/01/2016,726.07,99.96,209.97,617.89,116.58
13/01/2016,700.56,97.39,200.31,581.81,106.56
14/01/2016,714.72,99.52,206.18,593,107.06
15/01/2016,694.45,97.13,204.99,570.18,104.04
19/01/2016,701.79,96.66,204.72,574.48,107.89
20/01/2016,698.45,96.79,198.7,571.77,107.74
21/01/2016,706.59,96.3,199.97,575.02,102.35
22/01/2016,725.25,101.42,202.55,596.38,100.72
25/01/2016,711.67,99.44,196.38,596.53,99.12
26/01/2016,713.04,99.99,193.56,601.25,97.83
27/01/2016,699.99,93.42,188.07,583.35,91.15
28/01/2016,730.96,94.09,189.7,635.35,94.41
29/01/2016,742.95,97.34,191.2,587,91.84
01/02/2016,752,96.43,196.94,574.81,94.09
02/02/2016,764.65,94.48,182.78,552.1,91.49
03/02/2016,726.95,96.35,173.48,531.07,90.74
04/02/2016,708.01,96.6,175.33,536.26,89.71
05/02/2016,683.57,94.02,162.6,502.13,82.79
08/02/2016,682.74,95.01,147.99,488.1,83.32
09/02/2016,678.11,94.99,148.25,482.07,86.13
10/02/2016,684.12,94.27,143.67,490.48,88.45
11/02/2016,683.11,93.7,150.47,503.82,86.35
12/02/2016,682.4,93.99,151.04,507.08,87.4
16/02/2016,691,96.64,155.17,521.1,89.05
17/02/2016,708.4,98.12,168.68,534.1,94.76
18/02/2016,697.35,96.26,166.77,525,90.49
19/02/2016,700.91,96.04,166.58,534.9,89.23
22/02/2016,706.46,96.88,177.74,559.5,91.93
23/02/2016,695.85,94.69,177.21,552.94,89.12
24/02/2016,699.56,96.1,179,554.04,91.61
25/02/2016,705.75,96.76,187.43,555.15,94.53
26/02/2016,705.07,96.91,190.34,555.23,94.79
29/02/2016,697.77,96.69,191.93,552.52,93.41
01/03/2016,718.81,100.53,186.35,579.04,98.3
02/03/2016,718.85,100.75,188.34,580.21,97.61
03/03/2016,712.42,101.5,195.74,577.49,97.93
04/03/2016,710.89,103.01,201.04,575.14,101.58
07/03/2016,695.16,101.87,205.29,562.8,95.49
08/03/2016,693.97,101.03,202.6,560.26,96.23
09/03/2016,705.24,101.12,208.72,559.47,98
10/03/2016,712.82,101.17,205.18,558.93,97.36
11/03/2016,726.82,102.26,207.5,569.61,97.66
14/03/2016,730.49,102.52,215.15,573.37,98.13
15/03/2016,728.33,104.58,218.34,577.02,97.86
16/03/2016,736.09,105.97,221.93,574.27,99.35
17/03/2016,737.78,105.8,226.38,559.44,99.72
18/03/2016,737.6,105.92,232.74,552.08,101.12
21/03/2016,742.09,105.91,238.32,553.98,101.06
22/03/2016,740.75,106.72,234.24,560.48,99.84
23/03/2016,738.06,106.13,222.58,569.63,99.59
24/03/2016,735.3,105.67,227.75,582.95,98.36
28/03/2016,733.53,105.19,230.26,579.87,101.21
29/03/2016,744.77,107.68,230.13,593.86,104.13
30/03/2016,750.53,109.56,226.89,598.69,102.19
31/03/2016,744.95,108.99,229.77,593.64,102.23
01/04/2016,749.91,109.99,237.59,598.5,105.7
04/04/2016,745.29,111.12,246.99,593.19,104.35
05/04/2016,737.8,109.81,255.47,586.14,104.94
06/04/2016,745.69,110.96,265.42,602.08,104.83
07/04/2016,740.28,108.54,257.2,591.43,104.45
