Macys,Macys
AnnCoulter,ericbolling
Clare_OC,Forbes
Clare_OC,Forbes
Clare_OC,Forbes:
Forbes,Clare_OC
Mets,NYDailyNews
KarlRove,FoxNews?
FoxNews,KarlRove
KarlRove,FoxNews
FoxNews,KarlRove
KarlRove,FoxNews
ariannahuff,HuffingtonPost
ariannahuff,HuffingtonPost
CNN,CNNPolitics
CNN,CNNPolitics
BreitbartNews,chucktodd,nbc
HuffingtonPost,ariannahuff
Macy’s,PPFA
FoxNews,seanhannity
CNN,CNNPolitics
DanHenninger,WSJ
FrankLuntz,DRUDGE_REPORT,TIME
FoxNews,"megynkelly,"
krauthammer,FoxNews
AP,HuffingtonPost,NBC
oreillyfactor,FoxNews
"oreillyfactor,",FoxNews
MeghanMcCain,TheFive,FoxNews
IngrahamAngle,"FoxNews,",KarlRove
seanhannity,FoxNews.
RichLowry,FoxNews.
FoxNews,RichLowry
EWErickson,RedState,RedState
GOP,CNBC
CNBC,GOP
CNN,jaketapper.
"BillKristol,",Morning_Joe
Morning_Joe,politico
Morning_Joe:,CNBC.
Robostop10:,realDonaldTrump
WSJ,KarlRove
Forbes,WSJ
JohnLegere,TMobile
"GeorgeWill,",FoxNews.
"GeorgeWill,",FoxNews.
"mkhammer,",TheJuanWilliams
Reuters,AP.
AP,JeffHorwitz
WSJ,GOP
greta,KarlRove
Karl,Morning_Joe.,FoxNews
KarlRove,Morning_Joe.,FoxNews
JacoH:,CNN,realDonaldTrump,CNN
MariaTCardona,ThisWeekABC.,BillKristol
ThisWeekABC:,"BillKristol,",mattbai?,MariaTCardona.
JRubinBlogger,washingtonpost
"KatyTurNBC,",SopanDeb
"Maddow,",KatyTurNBC
KatyTurNBC,DebSopan,GatewayPundit
meetthepress,chucktodd
"washingtonpost,",JeffBezos,amazon.
washingtonpost,JeffBezos,Amazon!
amazon,washingtonpost
CNN,nytimes.
CNN,WSJ
nytimes,CNN
mysteriousLoser:,realDonaldTrump
"secupp,",CNN
CNN,"secupp,"
TheRickWilson,CNN
BernardGoldberg,oreillyfactor.
Morning_Joe,CNN
KarlRove,FoxNews
FoxNews,CNN
"oreillyfactor,",krauthammer.
"megynkelly,","FoxNews,"
"krauthammer,","KarlRove,","GeorgezWill,","megynkelly,",FoxNews
"DRUDGE_REPORT,",TIME,Slate,megynkelly
CharlesHurt,MelindaDC
CNN,secupp
"washingtonpost,",tedcruz
FoxNews,CNN
FoxNews,KarlRove
JebBush,CNN
meetthepress,chucktodd,CNN
HallieJackson,NBC
JebBush,ananavarro,"secupp,",CNN
RuthMarcus,washingtonpost
TheView,"ABC,","BarbaraJWalters,"
ThisWeekABC,GStephanopoulos,tavissmiley,ABC
ABC,UnionLeader
MajorCBS,CBSNews
CNN,andersoncooper
oreillyfactor,glennbeck
FrankLuntz,FoxNews,megynkelly
glennbeck,SarahPalinUSA
"krauthammer,",FoxNews
BenSasse,greta
BenSasse,greta
bobvanderplaats,foxandfriends
bobvanderplaats,foxandfriends
donlemon,kayleighmcenany,cherijacobus,CNN
billoreilly,KarlRove.
"NYDailyNews,",politico
JebBush,marcorubio
SenTedCruz,"JebBush,"
brithume,"megynkelly,"
"lindseygraham,",FoxNews.
FoxNews,WSJ
oreillyfactor,brithume
KarlRove,FoxNews
meetthepress,chucktodd
NBCNews,WSJ
politico,NYDailyNews
megynkelly,oreillyfactor
DavidGregory,CNN
CNN,oreillyfactor
